,0,1
68,-221927.56789511524,-27126.42490380875
69,-221613.548171817,-30023.14899239491
70,-220936.8919605956,-17272.37995474767
71,-219818.44574689944,-28544.733619625196
72,-34597.81875363348,-26103.809287561773
73,-221938.45970080435,-27121.69284470158
74,-221938.42671243005,-27132.02987465076
75,-221938.35276801963,-27130.129862803977
76,-221938.48414218778,-27127.498655279673
77,-221938.37738988933,-27128.18719236484
78,-221938.2284586992,-27147.672133683318
79,-162561.58085858534,-28852.23318059306
80,-221813.37021308392,-21754.799246009643
81,-220975.80440423894,-18067.493845972855
82,-217173.2947512927,-29876.11613283809
83,-133087.19910299036,-27700.347670201212
84,-221626.69984737586,-785.6532295552604
85,-221943.22379076664,-27140.251465305548
86,-96524.1821414402,-27532.64220771961
87,-221943.0922740965,-27150.628156897797
88,-221305.46948146145,-29456.17809885141
89,-137536.5448242789,-27580.55322265151
90,-221943.36036657577,-27129.47560664661
91,-221943.39878971397,-27126.444013361477
92,-188011.03309972695,-25182.907722926415
93,-125134.68604576314,-28008.776896295887
94,-221943.39329579903,-27126.87748433952
95,-221260.51005900677,-1481.014554437856
96,-221817.84811266192,-21796.746643784856
97,-221949.3532931746,-27142.784766749493
98,-168285.9011370133,-28873.70280225572
99,-221949.34103639127,-27143.751829407807
100,-221823.58281710497,-21831.0607720414
101,-172982.5531949963,-29129.98035445437
102,-174644.21839993016,-29134.948609513565
103,-164084.17846217184,-28795.057617698265
104,-121090.54891667758,-27959.171172174734
105,-164220.8532054523,-28860.80204197129
106,-146440.90218747026,-27900.7674703281
107,-199636.04357345004,-29386.93977821627
108,-202066.31501520614,-29242.95606185252
109,-214591.85084514305,-29847.68683397612
110,-162512.78081770087,-28945.071986895287
111,-165424.68746745525,-28740.263291407595
112,-182050.43268523715,-27901.650144504016
113,-174492.2833809805,-28986.820626369376
114,-164630.18981227197,-28398.656087777075
115,-106891.12863065397,-27667.698540072906
116,-221162.44400929078,-29689.94111848331
117,-154969.59150633935,-28550.7685681438
118,-176405.61934425996,-28713.617664425114
119,-215371.71533755277,-29243.574872641475
120,-206612.3582062707,-29178.29086856363
121,-132330.82748185363,-27199.954337614014
122,-39219.82360074948,-25960.851909544424
