,0,1,2
104,-10.759385,5.502565,-4.3718085
105,-10.28605,1.5388819,-7.0452204
106,-16.26728,7.6943493,-5.742455
107,-1.0098726,-3.6477196,2.6812837
108,0.24159756,-5.779142,3.9910657
109,-2.2701778,-3.5487723,0.86143786
110,-12.078622,7.93152,-11.990435
111,-10.254283,2.159832,-6.551368
112,-0.8676057,-1.326162,3.924526
113,-9.924164,1.5693662,-6.645256
114,-9.9951725,0.3088342,-7.9228606
115,-15.412424,7.322667,-5.6396227
116,1.1222723,-11.732129,3.9943652
117,-15.996212,6.4108734,-7.1724744
118,-2.4804153,-3.3243883,0.39911246
119,-1.4073718,-4.5293865,2.5663576
120,-15.652317,6.811116,-8.66213
121,-1.758959,0.88930017,2.6371708
122,-5.5635476,2.520892,0.13295601
123,13.551487,-21.710218,-4.4563017
124,3.1876795,-7.442645,4.176857
125,0.36233246,-5.558825,3.9540884
126,3.0514686,-7.4697413,4.2455053
127,-15.973324,7.6306777,-5.7564106
128,12.419067,-10.488647,-1.0245656
129,-5.454592,2.394097,0.39618084
130,-30.569548,-22.144318,0.18517558
131,-30.568825,-22.144154,0.18480515
132,5.597164,-10.115242,-0.77418613
133,-5.885811,2.9655225,-0.9464036
134,-30.577194,-21.893782,0.24478905
135,-30.463234,-21.973682,0.19092388
136,-12.324461,3.111378,-7.8546224
137,-30.520994,-22.115963,0.1483748
138,-30.638704,-21.961409,-0.19385158
139,-30.471962,-21.952572,0.19938181
140,-8.294869,0.3286765,-6.182147
141,-30.510647,-22.093296,0.12488535
142,-3.9371598,-9.504552,30.133131
143,-10.342664,0.6405214,-8.320451
144,-10.105937,0.42958644,-7.993535
145,-10.016271,0.26804373,-8.042072
146,-10.700352,5.72511,-4.2162495
147,-14.69029,6.885048,-7.0285106
148,-6.5327034,3.7267623,0.43873867
149,-15.601219,6.0405765,-7.438447
150,-12.596368,3.2234483,-7.884522
151,1.9964037,-8.705196,4.4348025
152,-15.348854,6.8628745,-9.057963
153,-8.066588,4.4062366,-2.6615841
154,-9.750594,0.12312095,-7.6883545
155,-8.484725,0.534165,-6.3977003
156,-11.578028,2.9836543,-7.3481817
157,-8.128807,4.2145357,-2.6597838
158,-8.792539,-1.0556111,-6.457638
159,-8.321045,-1.4780129,-5.8734016
160,-0.30154684,-6.6207294,12.579513
