,0,1,2
159,7.4518394,-5.271408,3.8545976
160,-1.5133522,-4.4386415,15.199307
161,8.781561,1.5335191,1.1947674
162,8.290168,-3.1878085,2.7387278
163,-13.770583,3.4276602,-2.5198295
164,-13.770583,3.4276602,-2.5198295
165,-10.617971,-2.4105792,-4.5392694
166,-3.5349784,-6.7092113,-3.1279001
167,7.8698916,-20.473457,-12.842244
168,8.437497,-2.8489566,2.4786665
169,-13.768108,3.4312818,-2.5189369
170,-13.661659,3.7499754,-1.4874997
171,-13.589714,3.3659549,-2.348512
172,-9.898458,-2.3530564,-4.5397735
173,-3.0712397,-6.433278,-2.2077868
174,-2.8792536,-6.157662,-1.844323
175,7.4142056,-4.1848626,3.876768
176,-5.75651,9.204992,7.973165
177,-13.485462,3.3242927,-2.2767231
178,-13.476124,3.3476043,-2.2793815
179,8.35178,-3.0832727,2.6475897
180,-13.478564,3.3420186,-2.2788262
181,-9.399955,-4.9162416,-4.630889
182,6.4176893,-6.6798577,4.703027
183,-9.82392,-2.2045743,-4.5670447
184,-2.1709907,-9.890969,-1.6282864
185,-13.478217,3.3428383,-2.2789037
186,-3.3287768,-7.2085285,-2.8562799
187,-9.823699,-2.204749,-4.5669928
188,8.412426,-3.1319926,2.5651557
189,-9.766444,-2.2468016,-4.555607
190,-1.8133936,-10.168626,-1.4120923
191,-2.1666582,-9.24845,-1.2678295
192,8.821491,1.6185719,1.1602142
193,8.336872,-3.1066353,2.6843264
194,7.222448,-4.6479883,4.1126323
195,-5.7288003,8.98139,7.9880023
196,6.1273084,-7.3611507,4.83738
197,-9.368518,-1.5351123,-4.54827
198,8.670013,0.56435037,1.1062963
199,-5.7443724,8.95868,7.98556
200,-12.328954,3.0446339,-1.694683
201,-12.279998,3.0255244,-1.6793292
202,-12.325147,3.039574,-1.6936879
203,-13.155368,3.6416075,-1.3782095
204,-12.283614,3.0298915,-1.6801369
205,6.930565,-5.827087,4.3843513
206,-12.281084,3.0268288,-1.6795723
207,-12.284413,3.0308542,-1.680309
208,6.235465,-7.7174997,4.5214205
209,-9.344494,-1.4943801,-4.541216
210,-2.695965,-5.7938094,-3.5937848
211,7.233692,-5.320862,4.1393
212,-3.5515292,-5.771512,-3.9578993
213,8.690913,-22.422838,-2.749976
214,4.5202756,-8.604262,6.922889
215,4.559302,-18.472248,-17.639696
216,6.8223705,-20.131819,2.8535795
217,6.8051796,-19.978323,3.0411541
218,8.29092,-22.54664,-0.77086556
219,-3.2830255,-6.8129025,-3.4197698
220,4.220668,-18.283384,-18.05903
221,8.5344305,-22.569454,-1.911426
222,-3.332382,-4.322504,-3.7565198
223,-3.0818295,-7.5941024,-3.011205
224,0.081656404,-16.224854,-20.729687
225,8.177302,-22.4567,-0.25960726
226,-6.4635577,-7.9045463,-22.205032
227,7.653326,-21.683428,1.54358
228,7.308196,-21.032888,2.2570767
229,-2.6605043,-9.016618,-2.2240455
230,-4.7412257,-11.834319,-22.768908
231,9.052675,-22.238993,-3.6886523
232,4.155999,-9.518119,7.0720525
233,-6.3714256,-6.8566313,-21.058882
234,-3.1141026,-2.8597383,-3.6303556
